11:39:04 :Epoch 81/4000, Loss: 0.6159, Accuracy: 0.7333 
11:39:04 :Epoch 82/4000, Loss: 0.6141, Accuracy: 0.7333 
11:39:04 :Epoch 83/4000, Loss: 0.6134, Accuracy: 0.7333 
11:39:04 :Epoch 84/4000, Loss: 0.6119, Accuracy: 0.7333 
11:39:04 :Epoch 85/4000, Loss: 0.6103, Accuracy: 0.7333 
11:39:04 :Epoch 86/4000, Loss: 0.6093, Accuracy: 0.7333 
11:39:04 :Epoch 87/4000, Loss: 0.6081, Accuracy: 0.8000 
11:39:04 :Epoch 88/4000, Loss: 0.6068, Accuracy: 0.8000 
11:39:04 :Epoch 89/4000, Loss: 0.6049, Accuracy: 0.7333 
11:39:04 :Epoch 90/4000, Loss: 0.6045, Accuracy: 0.7333 
11:39:04 :Epoch 91/4000, Loss: 0.6036, Accuracy: 0.7333 
11:39:04 :Epoch 92/4000, Loss: 0.6016, Accuracy: 0.7333 
11:39:04 :Epoch 93/4000, Loss: 0.6008, Accuracy: 0.7333 
11:39:04 :Epoch 94/4000, Loss: 0.5992, Accuracy: 0.8000 
11:39:04 :Epoch 95/4000, Loss: 0.5983, Accuracy: 0.7333 
11:39:04 :Epoch 96/4000, Loss: 0.5978, Accuracy: 0.7333 
11:39:04 :Epoch 97/4000, Loss: 0.5953, Accuracy: 0.7333 
11:39:04 :Epoch 98/4000, Loss: 0.5953, Accuracy: 0.7333 
11:39:04 :Epoch 99/4000, Loss: 0.5941, Accuracy: 0.7333 
11:39:04 :Epoch 100/4000, Loss: 0.5928, Accuracy: 0.7333 
11:39:04 :Epoch 101/4000, Loss: 0.5920, Accuracy: 0.7333 
11:39:04 :Epoch 102/4000, Loss: 0.5898, Accuracy: 0.7333 
11:39:04 :Epoch 103/4000, Loss: 0.5906, Accuracy: 0.7333 
11:39:04 :Epoch 104/4000, Loss: 0.5888, Accuracy: 0.7333 
11:39:04 :Epoch 105/4000, Loss: 0.5876, Accuracy: 0.7333 
11:39:04 :Epoch 106/4000, Loss: 0.5869, Accuracy: 0.7333 
11:39:04 :Epoch 107/4000, Loss: 0.5854, Accuracy: 0.7333 
11:39:04 :Epoch 108/4000, Loss: 0.5850, Accuracy: 0.7333 
11:39:04 :Epoch 109/4000, Loss: 0.5839, Accuracy: 0.7333 
11:39:04 :Epoch 110/4000, Loss: 0.5829, Accuracy: 0.7333 
11:39:04 :Epoch 111/4000, Loss: 0.5821, Accuracy: 0.7333 
11:39:04 :Epoch 112/4000, Loss: 0.5812, Accuracy: 0.7333 
11:39:04 :Epoch 113/4000, Loss: 0.5802, Accuracy: 0.7333 
11:39:04 :Epoch 114/4000, Loss: 0.5800, Accuracy: 0.7333 
11:39:04 :Epoch 115/4000, Loss: 0.5785, Accuracy: 0.7333 
11:39:04 :Epoch 116/4000, Loss: 0.5784, Accuracy: 0.7333 
11:39:04 :Epoch 117/4000, Loss: 0.5770, Accuracy: 0.7333 
11:39:04 :Epoch 118/4000, Loss: 0.5759, Accuracy: 0.7333 
11:39:04 :Epoch 119/4000, Loss: 0.5749, Accuracy: 0.7333 
11:39:04 :Epoch 120/4000, Loss: 0.5728, Accuracy: 0.7333 
11:39:04 :Epoch 121/4000, Loss: 0.5713, Accuracy: 0.7333 
11:39:04 :Epoch 122/4000, Loss: 0.5685, Accuracy: 0.7333 
11:39:04 :Epoch 123/4000, Loss: 0.5680, Accuracy: 0.7333 
11:39:04 :Epoch 124/4000, Loss: 0.5668, Accuracy: 0.7333 
11:39:04 :Epoch 125/4000, Loss: 0.5648, Accuracy: 0.7333 
11:39:04 :Epoch 126/4000, Loss: 0.5635, Accuracy: 0.7333 
11:39:04 :Epoch 127/4000, Loss: 0.5616, Accuracy: 0.7333 
11:39:04 :Epoch 128/4000, Loss: 0.5587, Accuracy: 0.7333 
11:39:04 :Epoch 129/4000, Loss: 0.5568, Accuracy: 0.7333 
11:39:04 :Epoch 130/4000, Loss: 0.5566, Accuracy: 0.7333 
11:39:04 :Epoch 131/4000, Loss: 0.5550, Accuracy: 0.7333 
11:39:04 :Epoch 132/4000, Loss: 0.5533, Accuracy: 0.7333 
11:39:04 :Epoch 133/4000, Loss: 0.5514, Accuracy: 0.7333 
11:39:04 :Epoch 134/4000, Loss: 0.5497, Accuracy: 0.7333 
11:39:04 :Epoch 135/4000, Loss: 0.5471, Accuracy: 0.7333 
11:39:04 :Epoch 136/4000, Loss: 0.5451, Accuracy: 0.7333 
11:39:04 :Epoch 137/4000, Loss: 0.5450, Accuracy: 0.7333 
11:39:04 :Epoch 138/4000, Loss: 0.5422, Accuracy: 0.7333 
11:39:04 :Epoch 139/4000, Loss: 0.5410, Accuracy: 0.7333 
11:39:04 :Epoch 140/4000, Loss: 0.5393, Accuracy: 0.7333 
11:39:04 :Epoch 141/4000, Loss: 0.5376, Accuracy: 0.7333 
11:39:04 :Epoch 142/4000, Loss: 0.5368, Accuracy: 0.7333 
11:39:04 :Epoch 143/4000, Loss: 0.5353, Accuracy: 0.7333 
11:39:04 :Epoch 144/4000, Loss: 0.5330, Accuracy: 0.7333 
11:39:04 :Epoch 145/4000, Loss: 0.5318, Accuracy: 0.7333 
11:39:04 :Epoch 146/4000, Loss: 0.5296, Accuracy: 0.7333 
11:39:04 :Epoch 147/4000, Loss: 0.5283, Accuracy: 0.7333 
11:39:04 :Epoch 148/4000, Loss: 0.5270, Accuracy: 0.7333 
11:39:04 :Epoch 149/4000, Loss: 0.5255, Accuracy: 0.7333 
11:39:04 :Epoch 150/4000, Loss: 0.5237, Accuracy: 0.7333 
11:39:04 :Epoch 151/4000, Loss: 0.5221, Accuracy: 0.7333 
11:39:04 :Epoch 152/4000, Loss: 0.5190, Accuracy: 0.7333 
11:39:04 :Epoch 153/4000, Loss: 0.5197, Accuracy: 0.7333 
11:39:04 :Epoch 154/4000, Loss: 0.5172, Accuracy: 0.7333 
11:39:04 :Epoch 155/4000, Loss: 0.5157, Accuracy: 0.7333 
11:39:04 :Epoch 156/4000, Loss: 0.5140, Accuracy: 0.7333 
11:39:04 :Epoch 157/4000, Loss: 0.5123, Accuracy: 0.7333 
11:39:04 :Epoch 158/4000, Loss: 0.5101, Accuracy: 0.7333 
11:39:04 :Epoch 159/4000, Loss: 0.5093, Accuracy: 0.7333 
11:39:04 :Epoch 160/4000, Loss: 0.5075, Accuracy: 0.7333 
11:39:04 :Epoch 161/4000, Loss: 0.5048, Accuracy: 0.7333 
11:39:04 :Epoch 162/4000, Loss: 0.5045, Accuracy: 0.7333 
11:39:04 :Epoch 163/4000, Loss: 0.5016, Accuracy: 0.7333 
11:39:04 :Epoch 164/4000, Loss: 0.4983, Accuracy: 0.7333 
11:39:04 :Epoch 165/4000, Loss: 0.4971, Accuracy: 0.7333 
11:39:04 :Epoch 166/4000, Loss: 0.4943, Accuracy: 0.7333 
11:39:04 :Epoch 167/4000, Loss: 0.4920, Accuracy: 0.7333 
11:39:04 :Epoch 168/4000, Loss: 0.4900, Accuracy: 0.7333 
11:39:04 :Epoch 169/4000, Loss: 0.4872, Accuracy: 0.7333 
11:39:04 :Epoch 170/4000, Loss: 0.4849, Accuracy: 0.7333 
11:39:04 :Epoch 171/4000, Loss: 0.4827, Accuracy: 0.7333 
11:39:04 :Epoch 172/4000, Loss: 0.4801, Accuracy: 0.7333 
11:39:04 :Epoch 173/4000, Loss: 0.4774, Accuracy: 0.7333 
11:39:04 :Epoch 174/4000, Loss: 0.4755, Accuracy: 0.7333 
11:39:04 :Epoch 175/4000, Loss: 0.4728, Accuracy: 0.7333 
11:39:04 :Epoch 176/4000, Loss: 0.4706, Accuracy: 0.7333 
11:39:04 :Epoch 177/4000, Loss: 0.4680, Accuracy: 0.7333 
11:39:04 :Epoch 178/4000, Loss: 0.4656, Accuracy: 0.7333 
11:39:04 :Epoch 179/4000, Loss: 0.4629, Accuracy: 0.7333 
11:39:04 :Epoch 180/4000, Loss: 0.4613, Accuracy: 0.7333 
11:39:04 :Epoch 181/4000, Loss: 0.4582, Accuracy: 0.7333 
11:39:04 :Epoch 182/4000, Loss: 0.4561, Accuracy: 0.7333 
11:39:04 :Epoch 183/4000, Loss: 0.4535, Accuracy: 0.7333 
11:39:04 :Epoch 184/4000, Loss: 0.4501, Accuracy: 0.7333 
11:39:04 :Epoch 185/4000, Loss: 0.4491, Accuracy: 0.7333 
11:39:04 :Epoch 186/4000, Loss: 0.4465, Accuracy: 0.7333 
11:39:04 :Epoch 187/4000, Loss: 0.4441, Accuracy: 0.7333 
11:39:04 :Epoch 188/4000, Loss: 0.4412, Accuracy: 0.7333 
11:39:04 :Epoch 189/4000, Loss: 0.4390, Accuracy: 0.8000 
11:39:04 :Epoch 190/4000, Loss: 0.4368, Accuracy: 0.7333 
11:39:04 :Epoch 191/4000, Loss: 0.4333, Accuracy: 0.7333 
11:39:04 :Epoch 192/4000, Loss: 0.4322, Accuracy: 0.7333 
11:39:04 :Epoch 193/4000, Loss: 0.4296, Accuracy: 0.8000 
11:39:04 :Epoch 194/4000, Loss: 0.4268, Accuracy: 0.8000 
11:39:04 :Epoch 195/4000, Loss: 0.4250, Accuracy: 0.8000 
11:39:04 :Epoch 196/4000, Loss: 0.4225, Accuracy: 0.8000 
11:39:04 :Epoch 197/4000, Loss: 0.4201, Accuracy: 0.8000 
11:39:04 :Epoch 198/4000, Loss: 0.4176, Accuracy: 0.8000 
11:39:04 :Epoch 199/4000, Loss: 0.4154, Accuracy: 0.8000 
11:39:04 :Epoch 200/4000, Loss: 0.4130, Accuracy: 0.8000 
11:39:04 :Epoch 201/4000, Loss: 0.4106, Accuracy: 0.8000 
11:39:04 :Epoch 202/4000, Loss: 0.4082, Accuracy: 0.8000 
11:39:04 :Epoch 203/4000, Loss: 0.4059, Accuracy: 0.8000 
11:39:04 :Epoch 204/4000, Loss: 0.4023, Accuracy: 0.8000 
11:39:04 :Epoch 205/4000, Loss: 0.4025, Accuracy: 0.8000 
11:39:04 :Epoch 206/4000, Loss: 0.3997, Accuracy: 0.8000 
11:39:04 :Epoch 207/4000, Loss: 0.3967, Accuracy: 0.8000 
11:39:04 :Epoch 208/4000, Loss: 0.3958, Accuracy: 0.8000 
11:39:04 :Epoch 209/4000, Loss: 0.3932, Accuracy: 0.8000 
11:39:04 :Epoch 210/4000, Loss: 0.3909, Accuracy: 0.8000 
11:39:04 :Epoch 211/4000, Loss: 0.3902, Accuracy: 0.8000 
11:39:04 :Epoch 212/4000, Loss: 0.3872, Accuracy: 0.8000 
11:39:04 :Epoch 213/4000, Loss: 0.3863, Accuracy: 0.8000 
11:39:04 :Epoch 214/4000, Loss: 0.3837, Accuracy: 0.8000 
11:39:04 :Epoch 215/4000, Loss: 0.3814, Accuracy: 0.8000 
11:39:04 :Epoch 216/4000, Loss: 0.3799, Accuracy: 0.8000 
11:39:04 :Epoch 217/4000, Loss: 0.3775, Accuracy: 0.8000 
11:39:04 :Epoch 218/4000, Loss: 0.3754, Accuracy: 0.8000 
11:39:04 :Epoch 219/4000, Loss: 0.3734, Accuracy: 0.8000 
11:39:04 :Epoch 220/4000, Loss: 0.3721, Accuracy: 0.8000 
11:39:04 :Epoch 221/4000, Loss: 0.3700, Accuracy: 0.8000 
11:39:04 :Epoch 222/4000, Loss: 0.3674, Accuracy: 0.8000 
11:39:04 :Epoch 223/4000, Loss: 0.3659, Accuracy: 0.8000 
11:39:04 :Epoch 224/4000, Loss: 0.3631, Accuracy: 0.8000 
11:39:04 :Epoch 225/4000, Loss: 0.3610, Accuracy: 0.8000 
11:39:04 :Epoch 226/4000, Loss: 0.3598, Accuracy: 0.8000 
11:39:04 :Epoch 227/4000, Loss: 0.3564, Accuracy: 0.8000 
11:39:04 :Epoch 228/4000, Loss: 0.3551, Accuracy: 0.8000 
11:39:04 :Epoch 229/4000, Loss: 0.3529, Accuracy: 0.8000 
11:39:04 :Epoch 230/4000, Loss: 0.3504, Accuracy: 0.8000 
11:39:04 :Epoch 231/4000, Loss: 0.3489, Accuracy: 0.8000 
11:39:04 :Epoch 232/4000, Loss: 0.3458, Accuracy: 0.8000 
11:39:04 :Epoch 233/4000, Loss: 0.3446, Accuracy: 0.8000 
11:39:04 :Epoch 234/4000, Loss: 0.3410, Accuracy: 0.8000 
11:39:04 :Epoch 235/4000, Loss: 0.3392, Accuracy: 0.8000 
11:39:04 :Epoch 236/4000, Loss: 0.3373, Accuracy: 0.8000 
11:39:04 :Epoch 237/4000, Loss: 0.3356, Accuracy: 0.8000 
11:39:04 :Epoch 238/4000, Loss: 0.3322, Accuracy: 0.8000 
